article,status,brand,name,rating,reviews,n_mentions,total_likes,total_views,first_mention,last_mention
420070372,matched,art&fact,"Жидкость для ирригатора с ксилитолом и хлоргексидином, 500мл",4.9,194.0,1,42,834,2025-09-21 09:29:45,2025-09-21 09:29:45
492784900,matched,mixit,"Блеск для губ глянцевый на брелке, 02 Make Up",4.9,3183.0,1,228,7212,2026-02-10 16:40:42,2026-02-10 16:40:42
473289016,matched,vois,Парфюмированный крем баттер для тела и рук увлажняющий,4.9,8100.0,1,69,164750,2025-09-11 12:29:40,2025-09-11 12:29:40
436728210,matched,geltekcosmetics,"Молочко для тела увлажняющее Black Cassis, 390 мл",4.9,465.0,1,22,2049,2025-06-27 09:58:31,2025-06-27 09:58:31
436728210,matched,geltekcosmetics,Увлажняющее молочко для тела парфюмированное,4.9,465.0,1,22,2049,2025-06-27 09:58:31,2025-06-27 09:58:31
622186550,matched,geltekcosmetics,"Крем сыворотка для лица с липосомальным ретинолом 0,5% от мо…",5.0,386.0,1,41,3523,2025-11-28 09:29:48,2025-11-28 09:29:48
622186550,matched,geltekcosmetics,"Крем сыворотка для лица с липосомальным ретинолом 0,5% от мо…",5.0,387.0,1,41,3523,2025-11-28 09:29:48,2025-11-28 09:29:48
698972277,matched,geltekcosmetics,Крем для лица увлажняющий восстанавливающий без отдушек,4.9,1314.0,1,25,1286,2025-12-22 09:40:37,2025-12-22 09:40:37
698972277,matched,geltekcosmetics,Крем для лица увлажняющий восстанавливающий без отдушек,4.9,1317.0,1,25,1286,2025-12-22 09:40:37,2025-12-22 09:40:37
884634860,matched,art&fact,Мусс автозагар для лица и тела светлый,5.0,2.0,1,24,1025,2026-04-02 14:38:36,2026-04-02 14:38:36
884634860,matched,art&fact,Мусс автозагар для лица и тела светлый,5.0,2.0,1,24,1025,2026-04-02 14:38:36,2026-04-02 14:38:36
848142756,matched,mixit,Секретный бокс косметики для лица и губ by Elena,4.8,169.0,1,164,9044,2026-03-28 08:45:18,2026-03-28 08:45:18
832321708,matched,geltekcosmetics,Пенка для умывания лица очищающая гипоаллергенная,5.0,9.0,1,56,2200,2026-03-05 10:45:26,2026-03-05 10:45:26
832321708,matched,geltekcosmetics,Пенка для умывания лица очищающая гипоаллергенная,5.0,9.0,1,56,2200,2026-03-05 10:45:26,2026-03-05 10:45:26
832306103,matched,geltekcosmetics,Пенка для умывания себорегулирующая с кислотами,5.0,48.0,1,47,2202,2026-03-04 11:15:23,2026-03-04 11:15:23
832306103,matched,geltekcosmetics,Пенка для умывания себорегулирующая с кислотами,5.0,54.0,1,47,2202,2026-03-04 11:15:23,2026-03-04 11:15:23
807378841,matched,art&fact,"Маска для лица со спикулами,микроиглы 4000ppm",4.9,127.0,1,53,1014,2026-03-26 12:28:16,2026-03-26 12:28:16
807378841,matched,art&fact,"Маска для лица со спикулами,микроиглы 4000ppm",4.8,131.0,1,53,1014,2026-03-26 12:28:16,2026-03-26 12:28:16
786748184,matched,geltekcosmetics,Спрей-молочко для тела увлажняющее с пробиотиками 150 мл,4.7,7.0,1,24,1787,2026-03-18 09:25:32,2026-03-18 09:25:32
786748184,matched,geltekcosmetics,Спрей-молочко для тела с пробиотиками парфюмированное,4.7,7.0,1,24,1787,2026-03-18 09:25:32,2026-03-18 09:25:32
762468878,matched,geltekcosmetics,Крем массажный профессиональный для лица и тела,5.0,6.0,1,19,1743,2026-02-18 09:44:29,2026-02-18 09:44:29
762468878,matched,geltekcosmetics,Крем массажный профессиональный для лица и тела,5.0,6.0,1,19,1743,2026-02-18 09:44:29,2026-02-18 09:44:29
754711361,matched,mixit,"Набор кистей для макияжа 4 в 1, золотой",4.9,880.0,1,170,3979,2026-01-28 13:20:00,2026-01-28 13:20:00
728685296,matched,mixit,Объёмная зубная нить с ароматом кокоса и мяты,4.8,235.0,1,253,7216,2026-02-18 08:07:18,2026-02-18 08:07:18
724816508,matched,mixit,Отбеливающая зубная паста - корректор с кофейной эссенцией,4.7,361.0,1,179,9031,2026-03-12 12:48:21,2026-03-12 12:48:21
706639001,matched,mixit,Зубная паста-гель для нежного отбеливания 75 мл,4.8,2637.0,1,158,3613,2026-02-13 07:45:58,2026-02-13 07:45:58
695412118,matched,art&fact,Маска для волос уход и рост 400 мл,4.8,207.0,1,58,573,2026-02-16 09:00:17,2026-02-16 09:00:17
695412118,matched,art&fact,Маска для волос уход и рост 400 мл,4.8,207.0,1,58,573,2026-02-16 09:00:17,2026-02-16 09:00:17
559067005,matched,mixit,Подарочный набор с бестселлерами от,4.9,1708.0,1,260,9723,2026-01-30 05:26:00,2026-01-30 05:26:00
695225460,matched,mixit,Гипоаллергенное масло для душа атопичной кожи увлажняющее 0+,4.8,238.0,1,128,3872,2026-02-09 09:15:27,2026-02-09 09:15:27
681342549,matched,geltekcosmetics,Молочко для тела увлажняющее парфюмированное Spicy Berries,4.8,33.0,1,47,1701,2025-12-25 10:51:07,2025-12-25 10:51:07
681342549,matched,geltekcosmetics,Увлажняющее молочко для тела парфюмированное,4.8,33.0,1,47,1701,2025-12-25 10:51:07,2025-12-25 10:51:07
679097136,matched,geltekcosmetics,Шампунь детский гипоаллергенный с пантенолом без слез,5.0,17.0,1,141,9140,2025-12-18 14:26:30,2025-12-18 14:26:30
679097136,matched,geltekcosmetics,Шампунь детский гипоаллергенный с пантенолом без слез,5.0,19.0,1,141,9140,2025-12-18 14:26:30,2025-12-18 14:26:30
676904709,matched,mixit,Антивозрастной крем-бустер с pdrn для лица увлажняющий,4.8,685.0,1,375,2644,2026-02-07 08:44:41,2026-02-07 08:44:41
656227565,matched,geltekcosmetics,Бальзам для губ увлажняющий с ароматом Warm Bread,4.9,541.0,1,50,3025,2026-01-22 11:50:51,2026-01-22 11:50:51
656227565,matched,geltekcosmetics,Бальзам для губ увлажняющий с ароматом Warm Bread,4.9,544.0,1,50,3025,2026-01-22 11:50:51,2026-01-22 11:50:51
642534049,matched,mixit,Помада карандаш для губ 2в1 тон 01 Make up,4.8,518.0,1,235,6220,2026-02-03 05:55:00,2026-02-03 05:55:00
642409139,matched,mixit,Румяна стик для лица кремовые тон 01 MAKE UP,4.9,323.0,1,167,2795,2026-02-20 12:18:40,2026-02-20 12:18:40
328169906,matched,geltekcosmetics,Сыворотка для лица с салициловой кислотой 2% от прыщей и акн…,4.9,5915.0,1,49,2984,2025-03-12 09:15:31,2025-03-12 09:15:31
328169906,matched,geltekcosmetics,Сыворотка для лица с салициловой кислотой 2% от прыщей и акн…,4.9,5921.0,1,49,2984,2025-03-12 09:15:31,2025-03-12 09:15:31
593104417,matched,mixit,Обновляющие тонер-пэды с витамином С,4.9,2351.0,1,232,11205,2026-01-22 06:38:00,2026-01-22 06:38:00
590554578,matched,mixit,Пенка для умывания лица с щеточкой с нони и центеллой,4.8,1649.0,1,230,5746,2026-01-20 17:05:00,2026-01-20 17:05:00
